45,1215,246,1215,246,1237,45,1237,
43,1188,303,1188,303,1211,43,1211,
47,1155,108,1155,108,1177,47,1177,
154,979,448,979,448,1000,154,1000,
199,915,383,915,383,937,199,937,
56,860,183,857,183,880,57,883,
495,859,524,859,524,880,495,880,
57,821,132,821,132,844,57,844,
454,819,522,819,522,837,454,837,
57,785,252,785,252,808,57,808,
419,779,520,776,520,802,419,806,
83,739,129,739,129,757,83,757,
84,709,202,714,201,736,83,732,
67,717,79,717,79,728,67,728,
315,712,373,712,373,731,315,731,
456,708,515,708,515,731,456,731,
265,709,287,709,287,732,265,732,
319,699,346,699,346,708,319,708,
96,693,209,693,209,711,96,711,
382,652,415,652,415,673,382,673,
122,645,200,645,200,664,122,664,
66,648,76,648,76,659,66,659,
312,643,342,643,342,664,312,664,
244,643,270,643,270,664,244,664,
456,641,481,641,481,663,456,663,
387,632,410,632,410,649,387,649,
53,596,246,596,246,617,53,617,
53,564,332,561,332,583,53,585,
54,536,176,536,176,553,54,553,
215,501,352,501,352,523,215,523,
159,465,412,464,412,487,159,488,
194,432,371,432,371,449,194,449,
206,405,364,407,363,429,205,428,
71,379,499,379,499,405,71,405,
259,345,311,345,311,371,259,371,
82,312,486,312,486,347,82,347,
