44,961,239,961,239,979,44,979,
42,934,293,934,293,956,42,956,
47,905,102,905,102,919,47,919,
143,644,442,637,443,654,143,661,
182,626,405,622,406,636,182,640,
143,591,445,583,446,600,143,608,
195,571,387,567,388,584,195,588,
201,516,384,513,384,531,201,535,
144,502,230,501,230,516,144,517,
430,500,440,495,446,506,435,511,
148,485,209,485,209,499,148,499,
397,478,445,478,445,496,397,496,
144,467,244,466,245,481,144,482,
395,461,443,458,444,476,396,479,
143,450,257,448,257,463,143,465,
422,445,438,445,438,458,422,458,
142,432,293,428,293,445,142,449,
392,426,442,423,443,441,393,444,
140,399,234,396,234,410,140,414,
275,395,320,395,320,410,275,410,
354,395,362,395,362,405,354,405,
392,391,441,388,442,406,394,409,
141,382,263,377,264,392,141,397,
266,377,336,374,337,391,266,394,
330,375,382,375,382,390,330,390,
388,375,411,375,411,388,388,388,
138,362,201,359,201,377,139,380,
265,358,313,355,314,374,267,377,
337,358,355,358,355,372,337,372,
385,354,433,352,434,371,386,374,
140,327,196,327,196,342,140,342,
342,321,438,318,439,335,342,338,
137,308,317,304,318,321,138,325,
354,303,431,299,432,318,355,321,
229,287,339,285,339,302,229,304,
286,252,377,249,377,268,286,270,
139,234,233,234,233,259,139,259,
274,235,389,234,389,249,274,250,
262,214,398,212,398,230,263,233,
264,196,395,192,395,209,265,214,
