297,933,429,933,429,955,297,955,
137,891,592,887,592,923,138,926,
123,852,335,852,335,877,123,877,
525,844,592,841,593,867,527,870,
121,822,267,818,267,844,122,847,
120,786,265,784,265,809,120,812,
533,778,587,775,588,800,534,803,
121,755,225,755,225,777,121,777,
569,742,587,742,587,764,569,764,
125,720,265,717,265,741,126,745,
124,689,351,682,352,704,125,711,
344,636,386,636,386,656,344,656,
120,638,260,632,261,654,121,659,
513,629,577,629,577,652,513,652,
122,609,230,609,230,630,122,630,
509,599,574,596,575,618,510,621,
266,585,279,585,279,603,266,603,
122,581,200,581,200,603,122,603,
286,542,321,542,321,558,286,558,
239,543,252,543,252,559,239,559,
385,540,444,540,444,559,385,559,
500,536,564,532,566,554,502,558,
132,515,479,508,479,532,132,540,
286,482,322,482,322,501,286,501,
240,484,253,484,253,501,240,501,
380,481,442,479,443,500,381,503,
500,479,560,479,560,498,500,498,
135,460,518,451,518,472,136,481,
145,435,227,435,227,450,145,450,
248,430,544,421,545,445,249,454,
234,396,469,389,469,417,235,424,
129,361,157,361,157,377,129,377,
239,330,456,323,456,344,239,351,
262,301,434,296,434,315,262,319,
