225,1114,765,1126,764,1173,224,1161,
768,1018,926,1015,927,1065,769,1068,
80,1003,355,1010,354,1067,78,1060,
768,933,922,933,922,977,768,977,
394,931,541,931,541,975,394,975,
81,934,105,934,105,970,81,970,
82,862,512,865,512,913,81,910,
81,798,135,798,135,839,81,839,
397,792,535,792,535,842,397,842,
724,788,919,788,919,836,724,836,
90,660,298,657,298,689,91,693,
643,653,908,645,909,682,644,690,
311,583,670,574,671,613,312,622,
296,461,686,450,687,483,297,494,
106,411,893,394,893,431,107,448,
299,352,681,341,683,379,300,390,
