44,962,240,967,239,985,43,980,
43,935,294,942,294,964,43,957,
50,906,103,907,103,921,50,920,
141,751,466,753,466,771,142,769,
184,731,425,734,425,751,184,749,
143,692,472,695,472,712,144,709,
201,672,408,675,407,694,200,690,
145,618,247,617,247,631,146,631,
335,616,471,616,472,634,335,634,
145,596,346,597,346,615,145,614,
146,576,280,579,280,597,147,594,
343,579,470,576,471,594,344,597,
208,541,406,541,406,559,208,559,
148,520,244,521,243,539,148,540,
156,506,220,504,221,518,156,519,
418,505,469,503,470,518,419,520,
150,486,258,486,258,502,150,501,
418,486,469,483,470,501,418,504,
150,466,281,467,281,484,151,483,
151,448,311,448,311,465,151,465,
418,449,468,446,469,464,418,467,
150,414,250,413,249,428,150,429,
293,413,340,415,339,430,292,428,
417,413,468,409,469,428,417,431,
149,392,415,395,415,413,150,412,
408,396,438,396,438,411,408,411,
150,374,215,374,214,392,150,394,
286,375,342,377,341,395,285,393,
417,376,467,372,468,391,418,396,
154,340,213,341,212,356,153,355,
366,340,466,338,466,356,366,358,
151,320,340,324,340,342,151,338,
380,323,465,319,466,337,381,341,
249,303,370,304,370,323,248,321,
310,272,403,271,402,289,309,290,
298,251,414,253,414,270,299,269,
158,246,253,248,253,271,158,269,
279,230,435,233,434,251,278,248,
298,211,415,214,415,232,299,230,
