109,836,530,838,531,859,108,856,
160,809,478,811,478,832,160,830,
109,756,540,758,541,783,108,780,
179,729,454,730,454,756,179,754,
190,651,455,653,454,677,189,676,
473,631,539,632,539,652,472,650,
108,629,233,629,233,651,107,651,
463,604,538,606,538,625,463,623,
116,604,203,605,203,626,116,626,
461,578,538,580,537,599,461,598,
109,580,254,577,255,599,110,601,
109,554,274,553,273,574,109,576,
461,528,536,529,536,548,461,548,
109,529,323,527,323,549,110,550,
461,478,536,479,535,498,460,497,
288,478,363,478,363,500,289,499,
106,479,251,478,251,500,106,500,
105,454,393,453,392,474,104,475,
460,427,526,425,527,448,461,450,
289,427,355,427,355,451,289,450,
107,426,191,427,191,453,106,452,
399,381,535,377,535,395,399,399,
105,379,190,379,189,400,106,401,
420,355,524,352,524,370,420,373,
106,354,362,354,362,375,106,375,
239,327,392,327,392,348,239,349,
321,280,447,279,446,300,321,301,
295,253,472,251,472,273,296,274,
114,250,242,252,242,281,113,279,
283,223,486,222,487,243,284,244,
272,195,495,191,496,215,273,220,
